District,Season,Year,Crop,AvgAirTemp,MinAirTemp,MaxAirTemp,AvgTempSkew,AvgTempKurt,AvgRelHum,AvgRelHumSkew,AvgRelHumKurt,AvgDewPt,AvgDewPtSkew,AvgDewPtKurt,AvgPrec,AvgPrecSkew,AvgPrecKurt,AvgWind,Yield,MLR_Prediction,DT_Prediction
11,1,2006,1,25.71521739,19.8,33.9,0.09935127,-0.671189922,72.95652174,-0.039249453,-0.7956282159999999,20.49891304,0.11900842,0.20860419300000002,11.50978261,3.768109738,15.89410926,4.764130435,0.54,0.5399999999999924,0.54
6,2,2007,2,24.58111111,17.4,34.8,1.7210240909999999,2.574109402,78.01333333,-1.873516657,3.108912174,20.34222222,-2.177090396,4.973370691,8.95,4.966012283,2.091170197,3.876666667,0.89,0.8899999999999914,0.89
2,2,2003,3,26.71099476,12.2,43.6,0.534708789,-0.436028615,49.95619546,0.661460944,-0.947306641,14.03769634,0.052482083,-0.6972030790000001,1.510645724,8.818788238,106.92113370000001,2.8219895289999997,0.32,0.3199999999999798,0.32
9,2,1997,4,16.55142857,7.5,26.1,-0.039598863,-1.254012741,74.35142857,-0.8401529090000001,-0.349229051,11.87428571,0.29317792600000003,-0.82213994,1.197142857,7.093743826,2.823909668,2.388571429,2.37,2.3700000000000103,2.376736111
3,4,2011,5,26.08438356,10.9,40.2,-0.19334735100000008,-0.24264677399999998,54.78356164,-0.054892332,-1.419338917,14.78246575,-0.360213635,-0.9905421440000001,4.0314702258318516,6.566479421388269,-0.9905421440000001,2.9156164380000003,0.6,0.5999999999999873,0.6000600600999999
9,2,2006,4,21.61714286,10.6,31.0,0.220380517,-1.250840009,41.94571429,0.116464746,0.38215335799999994,7.98,0.358794505,-0.927515234,0.08857142900000001,34.40467378,5.845304539,2.062857143,2.51,2.5100000000000025,2.51
4,1,2009,6,20.70081301,9.9,34.7,0.661163934,-0.42772838700000004,62.57154472,-0.8595326320000001,-0.5307133629999999,12.03821138,-0.823858057,-0.17713790199999999,4.0314702258318516,6.566479421388269,-0.17713790199999999,2.225203252,1.0,0.9999999999999986,1.0
4,1,2004,7,20.70406504,11.0,35.1,0.925967703,1.09845707,72.01219512,-1.393287474,0.509234345,14.74634146,-1.512565547,1.563979472,4.0314702258318516,6.566479421388269,1.563979472,2.219512195,1.0,1.000000000000003,1.0
2,4,2006,8,27.53956044,23.7,31.2,-0.244415225,0.083031256,71.87747253,-0.634148136,-0.177026333,22.01071429,-0.7912916879999999,-0.069284439,2.83021978,4.786319359,24.60194386,5.61510989,5.04,5.039999999999988,5.04
1,1,2004,9,27.93464052,15.7,40.0,0.743458077,0.950262555,68.44052288,-0.919108131,-0.126934293,20.96666667,-1.98698988,3.35498438,5.537908497,4.487041673999999,3.35498438,3.0405228760000003,1.0,1.0000000000000002,1.0
